date,name,url,description
2022-12-01,medusa,https://github.com/medusajs/medusa,开源的Shopify解决方案，为开发人员构建的开源可组合商务引擎。
2022-12-01,runtipi,https://github.com/meienberger/runtipi,Tipi是每个人的家庭服务器！一个命令设置，一键安装您最喜欢的自托管应用程序。
2022-12-01,excalidraw,https://github.com/excalidraw/excalidraw,用于素描手绘图的虚拟白板。
2022-12-01,coolify,https://github.com/coollabsio/coolify,一种开源和可自托管的 Heroku / Netlify 替代方案。
2022-12-01,casdoor,https://github.com/casdoor/casdoor,一个支持 OAuth 2.0、 OIDC、 SAML 和 CAS 的开源身份和访问管理(IAM)/单点登录(SSO)平台。
2022-12-01,lettura,https://github.com/zhanglun/lettura,用于 macOS 和 Window 的免费开源RSS阅读器。
2022-12-01,ntfy,https://github.com/binwiederhier/ntfy,推送通知发送到你的手机或桌面。
2022-12-01,answer,https://github.com/answerdev/answer,开源软件知识社区。
2022-12-01,uptime-kuma,https://github.com/louislam/uptime-kuma,一个奇特的自托管监控工具。
2022-12-01,soketi,https://github.com/soketi/soketi,简单、快速、有弹性的开源 WebSockets 服务器。
2022-12-01,gotosocial,https://github.com/superseriousbusiness/gotosocial,快速，有趣，ActivityPub 服务器，Go语言开发。
2022-12-02,AFFiNE,https://github.com/toeverything/AFFiNE,AFFINE是一个新一代的知识库，它将计划、分类和创造结合在一起，隐私第一、开源，Notion & Miro 替代品。
2022-12-02,Sonic,https://github.com/go-sonic/sonic,Sonic是一个用Golang开发的博客平台，高效快速，灵感来自Halo。
2022-12-02,Dub,https://github.com/steven-tey/dub,可自定义域名的开源短链服务。
2022-12-02,Logto,https://github.com/logto-io/logto,帮助你在数分钟内构建登录注册体验和用户身份体系的开源项目。
2022-12-03,goatcounter,https://github.com/arp242/goatcounter,网络流量分析服务，替代Google Analytics或者Matomo。
2022-12-03,Kutt,https://github.com/thedevs-network/kutt,Kutt是一个支持自定义域名的短链服务。
2022-12-03,gotify,https://github.com/gotify/server,消息推送服务。
2022-12-03,Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader,从多平台下载images/videos/music/text文件的客户端工具。
2022-12-03,OSS Insight,https://github.com/pingcap/ossinsight,分析数十亿GitHub事件，从中分析仓库或开发人员，可以比较GitHub任意两个仓库。
2022-12-03,Cerebro,https://github.com/cerebroapp/cerebro,开源跨平台的效率软件Cerebro。
2022-12-03,pocketbase,https://github.com/pocketbase/pocketbase,仅一个文件的开源后端。将 SQLite 数据库、接口服务、登录认证、管理后台等服务器端的功能，做成一个开箱即用的可执行文件。让原本不懂后端开发的用户，也可以通过用户界面快速构建起接口服务。
2022-12-03,Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,一款可自由定制的企业级开源通信平台。功能丰富的通信平台，可自托管做为 Slack 的开源替代品。支持创建频道、团队和讨论等多种不同功能的群聊，消息支持图片、文件、视频和语音，拥有包括 Windows、Linux、macOS、Android 和 iOS 在内的多种客户端。
2022-12-03,cypress,https://github.com/cypress-io/cypress,基于 JavaScript 的下一代前端测试工具。主要用于浏览器端到端测试的自动化工具，端到端(E2E)测试就是站在用户的角度，模拟实际使用场景的测试方式。Cypress 目前已成主流浏览器端到端测试工具，它运行速度快、上手简单，支持图形化界面可实时观察执行情况，以及截屏和视频记录测试结果。
2022-12-03,slidev,https://github.com/slidevjs/slidev,专为程序员打造的演示文稿工具。该项目是基于 Web 的幻灯片制作和演示工具，让用户可以使用 纯文本+Markdown 语法制作幻灯片，支持导出为 PDF 或 PNG 格式的文件，或以单页面展示幻灯片。对于大多数不擅长做 PPT 的程序员，基于提供的现成主题也可以制作出看起来不错的演示文稿。
2022-12-05,Pake,https://github.com/tw93/Pake,很简单的用 Rust 打包网页生成很小的桌面 App。
2022-12-05,Halo,https://github.com/halo-dev/halo,好用又强大的开源建站工具。
2022-12-05,青龙,https://github.com/whyour/qinglong,支持python3、javaScript、shell、typescript 的定时任务管理面板。
2022-12-05,AKShare,https://github.com/akfamily/akshare,开源财经数据接口库。
2022-12-05,Appsmith,https://github.com/appsmithorg/appsmith,Appsmith是一个用于构建、部署和维护内部应用程序的开源平台。您可以构建任何东西，从简单的 CRUD 应用程序、管理面板、仪表板到自定义业务应用程序和复杂的多步骤工作流。
2022-12-05,act,https://github.com/nektos/act,可以在本地测试运行GitHub Actions。
2022-12-05,Uptime Kuma,https://github.com/louislam/uptime-kuma,可独立部署的监控工具。
2022-12-05,mercure,https://github.com/dunglas/mercure,一个开放、简单、快速、可靠、高效的实时通信解决方案。
2022-12-05,bbs-go,https://github.com/mlogclub/bbs-go,基于Golang的开源社区系统。
2022-12-05,Lenstube,https://github.com/lenstube-xyz/lenstube,去中心化的视频分享社交媒体平台。
